,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
192,0 days 02:13:36.581000,ALO,14,0 days 00:01:33.207000,43.0,2.0,,,0 days 00:00:34.313000,0 days 00:00:29.208000,0 days 00:00:29.686000,0 days 02:12:37.687000,0 days 02:13:06.895000,0 days 02:13:36.581000,286.0,298.0,293.0,299.0,False,HARD,26.0,False,Aston Martin,0 days 02:12:03.374000,2023-03-19 18:13:03.460,1,3.0,False,,False,True
193,0 days 02:15:09.770000,ALO,14,0 days 00:01:33.189000,44.0,2.0,,,0 days 00:00:34.252000,0 days 00:00:29.183000,0 days 00:00:29.754000,0 days 02:14:10.833000,0 days 02:14:40.016000,0 days 02:15:09.770000,,298.0,294.0,299.0,False,HARD,27.0,False,Aston Martin,0 days 02:13:36.581000,2023-03-19 18:14:36.667,1,3.0,False,,False,True
194,0 days 02:16:42.845000,ALO,14,0 days 00:01:33.075000,45.0,2.0,,,0 days 00:00:34.293000,0 days 00:00:29.216000,0 days 00:00:29.566000,0 days 02:15:44.063000,0 days 02:16:13.279000,0 days 02:16:42.845000,287.0,295.0,293.0,299.0,False,HARD,28.0,False,Aston Martin,0 days 02:15:09.770000,2023-03-19 18:16:09.856,1,3.0,False,,False,True
195,0 days 02:18:15.824000,ALO,14,0 days 00:01:32.979000,46.0,2.0,,,0 days 00:00:34.213000,0 days 00:00:29.201000,0 days 00:00:29.565000,0 days 02:17:17.058000,0 days 02:17:46.259000,0 days 02:18:15.824000,,301.0,295.0,300.0,False,HARD,29.0,False,Aston Martin,0 days 02:16:42.845000,2023-03-19 18:17:42.931,1,3.0,False,,False,True
196,0 days 02:19:48.711000,ALO,14,0 days 00:01:32.887000,47.0,2.0,,,0 days 00:00:34.113000,0 days 00:00:29.210000,0 days 00:00:29.564000,0 days 02:18:49.937000,0 days 02:19:19.147000,0 days 02:19:48.711000,288.0,298.0,295.0,300.0,False,HARD,30.0,False,Aston Martin,0 days 02:18:15.824000,2023-03-19 18:19:15.910,1,3.0,False,,False,True
197,0 days 02:21:21.513000,ALO,14,0 days 00:01:32.802000,48.0,2.0,,,0 days 00:00:34.118000,0 days 00:00:29.146000,0 days 00:00:29.538000,0 days 02:20:22.829000,0 days 02:20:51.975000,0 days 02:21:21.513000,289.0,313.0,292.0,298.0,False,HARD,31.0,False,Aston Martin,0 days 02:19:48.711000,2023-03-19 18:20:48.797,1,3.0,False,,False,True
198,0 days 02:22:54.328000,ALO,14,0 days 00:01:32.815000,49.0,2.0,,,0 days 00:00:34.046000,0 days 00:00:29.224000,0 days 00:00:29.545000,0 days 02:21:55.559000,0 days 02:22:24.783000,0 days 02:22:54.328000,287.0,308.0,293.0,299.0,False,HARD,32.0,False,Aston Martin,0 days 02:21:21.513000,2023-03-19 18:22:21.599,1,3.0,False,,False,True
199,0 days 02:24:26.568000,ALO,14,0 days 00:01:32.240000,50.0,2.0,,,0 days 00:00:33.731000,0 days 00:00:29.096000,0 days 00:00:29.413000,0 days 02:23:28.059000,0 days 02:23:57.155000,0 days 02:24:26.568000,284.0,297.0,294.0,311.0,True,HARD,33.0,False,Aston Martin,0 days 02:22:54.328000,2023-03-19 18:23:54.414,1,3.0,False,,False,True
200,0 days 01:04:34.235000,LEC,16,0 days 00:01:43.306000,1.0,1.0,,,,0 days 00:00:31.542000,0 days 00:00:30.391000,,0 days 01:04:03.912000,0 days 01:04:34.208000,278.0,298.0,292.0,306.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:50.632000,2023-03-19 17:03:50.718,1,9.0,False,,False,False
201,0 days 01:06:11.142000,LEC,16,0 days 00:01:36.907000,2.0,1.0,,,0 days 00:00:35.938000,0 days 00:00:30.589000,0 days 00:00:30.380000,0 days 01:05:10.122000,0 days 01:05:40.711000,0 days 01:06:11.091000,283.0,299.0,292.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:34.235000,2023-03-19 17:05:34.321,1,9.0,False,,False,True
202,0 days 01:07:46.967000,LEC,16,0 days 00:01:35.825000,3.0,1.0,,,0 days 00:00:35.648000,0 days 00:00:30.205000,0 days 00:00:29.972000,0 days 01:06:46.739000,0 days 01:07:16.944000,0 days 01:07:46.916000,,316.0,304.0,328.0,True,SOFT,3.0,True,Ferrari,0 days 01:06:11.142000,2023-03-19 17:07:11.228,1,9.0,False,,False,True
