,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
251,324,SAR,100.838,15.0,1.0,29.48,43.162,28.196,MEDIUM,15.0,Williams,16.0,174.24866310160428,298.0,60.0,52.719251336898395,0.3342245989304813,0.22994652406417113,30.1,36.4,160.0,1.6,1.1735822415274797,-0.8414728981528442,0
252,325,SAR,100.965,16.0,1.0,29.584,43.15,28.231,MEDIUM,16.0,Williams,16.0,171.48586118251927,295.0,60.0,51.81491002570694,0.34190231362467866,0.23136246786632392,30.1,36.4,173.0,1.6,1.6756412377053278,-0.6301123442568903,0
253,326,SAR,101.113,17.0,1.0,29.476,43.385,28.252,MEDIUM,17.0,Williams,16.0,171.59685863874344,295.0,62.0,50.50523560209424,0.3219895287958115,0.2486910994764398,30.1,36.5,189.0,1.2,2.08610692020812,-0.852686326397033,0
254,327,SAR,101.57,18.0,1.0,29.699,43.369,28.502,MEDIUM,18.0,Williams,16.0,171.81167108753317,295.0,60.0,52.48010610079576,0.33421750663129973,0.21750663129973474,30.0,36.4,185.0,1.3,1.7832968471679334,-0.6342057624949127,0
255,332,SAR,99.856,23.0,2.0,29.155,42.491,28.21,HARD,4.0,Williams,18.0,177.65860215053763,291.0,64.0,54.22043010752688,0.34946236559139787,0.23655913978494625,29.9,36.1,152.0,1.5,-0.5776787811515803,-2.0220152061541365,0
256,333,SAR,100.39,24.0,2.0,29.44,42.704,28.246,HARD,5.0,Williams,18.0,174.9047619047619,292.0,61.0,53.25132275132275,0.35978835978835977,0.2275132275132275,29.9,35.9,183.0,1.8,0.028039159371275296,-0.7651970988827096,0
257,334,SAR,100.3,25.0,2.0,29.31,42.711,28.279,HARD,6.0,Williams,18.0,172.66755319148936,291.0,62.0,51.609042553191486,0.3377659574468085,0.24202127659574468,29.9,36.0,171.0,1.7,0.6212652159873143,-0.776410537949221,0
258,335,SAR,100.338,26.0,2.0,29.434,42.662,28.242,HARD,7.0,Williams,18.0,172.9477806788512,291.0,62.0,52.76762402088773,0.3472584856396867,0.2297650130548303,29.9,36.2,168.0,1.7,0.47569126566751235,-1.143305151269458,0
259,336,SAR,99.889,27.0,2.0,29.313,42.506,28.07,HARD,8.0,Williams,18.0,174.82291666666666,290.0,63.0,53.697916666666664,0.3385416666666667,0.21614583333333334,30.0,36.1,176.0,1.5,-0.2654643528576627,-1.9161954315804668,0
260,337,SAR,99.972,28.0,2.0,29.264,42.599,28.109,HARD,9.0,Williams,18.0,175.93261455525607,292.0,63.0,52.79245283018868,0.3557951482479784,0.23450134770889489,30.0,35.7,165.0,1.3,-0.1178354162682391,-1.6346556106395242,0
