,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
518,548,MAG,93.329,36.0,2.0,31.648,35.533,26.148,HARD,22.0,Haas F1 Team,12.0,203.31896551724137,328.0,50.0,63.252873563218394,0.2959770114942529,0.21551724137931033,26.9,34.8,133.0,4.3,2.550079243300114,2.3657124345953466,2
519,549,MAG,93.335,37.0,2.0,31.861,35.497,25.977,HARD,23.0,Haas F1 Team,10.0,205.42285714285714,319.0,65.0,63.97142857142857,0.31142857142857144,0.21428571428571427,27.0,34.6,135.0,3.7,0.8107601699511443,0.7835627901823673,2
520,550,MAG,93.578,38.0,2.0,32.443,35.142,25.993,HARD,24.0,Haas F1 Team,10.0,206.1159420289855,331.0,65.0,61.231884057971016,0.2956521739130435,0.19420289855072465,27.0,35.3,135.0,4.6,1.2953983244734015,0.7708428570050843,2
521,551,MAG,92.629,39.0,2.0,31.578,35.222,25.829,HARD,25.0,Haas F1 Team,10.0,207.2888888888889,323.0,65.0,64.58333333333333,0.28055555555555556,0.20277777777777778,26.9,35.5,148.0,4.3,-0.3720625726934428,0.5236999140833409,1
522,552,MAG,92.732,40.0,2.0,31.376,35.5,25.856,HARD,26.0,Haas F1 Team,9.0,205.39093484419263,322.0,66.0,63.40793201133145,0.2776203966005666,0.2096317280453258,26.9,34.5,148.0,4.0,0.08578530312305857,1.0988797296707065,2
523,553,MAG,92.678,41.0,2.0,31.475,35.3,25.903,HARD,27.0,Haas F1 Team,9.0,207.6317280453258,320.0,65.0,64.47592067988668,0.3059490084985836,0.1813031161473088,26.9,34.5,154.0,4.8,-0.8824670744550832,1.2704343124722108,1
524,554,MAG,92.456,42.0,2.0,31.435,35.182,25.839,HARD,28.0,Haas F1 Team,9.0,208.69540229885058,322.0,68.0,64.9683908045977,0.27011494252873564,0.20114942528735633,26.8,33.6,148.0,4.4,-1.4734953232876526,1.2043442824003887,1
525,555,MAG,92.516,43.0,2.0,31.353,35.246,25.917,HARD,29.0,Haas F1 Team,8.0,208.0733137829912,321.0,69.0,64.06158357771261,0.2668621700879765,0.20821114369501467,26.7,33.3,143.0,4.0,-1.264458636715556,1.5544128937176263,1
526,556,MAG,92.292,44.0,2.0,31.313,35.162,25.817,HARD,30.0,Haas F1 Team,8.0,210.10714285714286,320.0,67.0,66.3422619047619,0.27380952380952384,0.18452380952380953,26.7,33.3,158.0,4.3,-2.3616053019419687,1.5009825370380094,1
527,557,MAG,92.12,45.0,2.0,31.227,35.025,25.868,HARD,31.0,Haas F1 Team,8.0,208.36752136752136,321.0,66.0,65.79202279202279,0.301994301994302,0.19943019943019943,26.8,33.0,142.0,3.2,-1.782523405022784,1.2041461896119894,1
528,558,MAG,93.209,46.0,2.0,31.441,35.914,25.854,HARD,32.0,Haas F1 Team,9.0,207.47457627118644,322.0,68.0,64.86158192090396,0.2966101694915254,0.20903954802259886,27.0,35.1,142.0,4.4,0.021668652871698675,0.6764111577085683,2
529,559,MAG,93.387,47.0,2.0,31.443,36.292,25.652,HARD,33.0,Haas F1 Team,10.0,207.00560224089637,336.0,65.0,62.831932773109244,0.25770308123249297,0.20168067226890757,27.3,34.8,126.0,5.9,1.2086114318308816,0.7909856813476179,2
530,560,MAG,92.591,48.0,2.0,31.64,35.124,25.827,HARD,34.0,Haas F1 Team,10.0,211.39142857142858,322.0,67.0,65.25714285714285,0.3171428571428571,0.19714285714285715,27.1,34.2,128.0,4.4,-1.52672076155029,0.3058702591466972,1
531,561,MAG,92.402,49.0,2.0,31.487,35.223,25.692,HARD,35.0,Haas F1 Team,10.0,209.03790087463557,321.0,66.0,65.45481049562682,0.3498542274052478,0.17784256559766765,27.0,33.3,122.0,3.7,-1.6077403233156244,0.7748124009585997,1
532,562,MAG,92.462,50.0,2.0,31.382,35.217,25.863,HARD,36.0,Haas F1 Team,10.0,208.4813753581662,321.0,67.0,65.09169054441261,0.2836676217765043,0.18911174785100288,27.0,33.8,138.0,2.7,-1.277178634606201,0.6501097543661232,1
533,563,MAG,92.237,51.0,2.0,31.435,35.089,25.713,HARD,37.0,Haas F1 Team,10.0,210.27323943661972,320.0,67.0,66.05633802816901,0.3352112676056338,0.19436619718309858,27.1,33.4,135.0,3.2,-1.9931426900130111,0.2630964310170545,1
534,564,MAG,91.964,52.0,2.0,31.171,35.066,25.727,HARD,38.0,Haas F1 Team,10.0,207.72910662824208,322.0,64.0,66.0835734870317,0.2968299711815562,0.18155619596541786,27.0,33.4,142.0,5.0,-1.9083469680816716,1.4207101983235648,1
535,565,MAG,91.691,53.0,2.0,31.01,34.943,25.738,HARD,39.0,Haas F1 Team,10.0,207.24137931034483,321.0,65.0,64.17241379310344,0.26436781609195403,0.1896551724137931,26.9,33.1,118.0,3.5,-1.7367304240481405,1.4145805171232426,1
