,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
120,0 days 02:00:23.857000,17.7,65.0,966.7,False,30.6,164,1.6
121,0 days 02:01:23.857000,18.0,63.0,966.7,False,31.0,178,1.7
122,0 days 02:02:23.856000,18.1,62.0,966.7,False,31.0,135,2.4
123,0 days 02:03:23.886000,18.3,61.0,966.7,False,31.1,122,2.7
124,0 days 02:04:23.870000,18.4,61.0,966.7,False,31.0,355,2.0
125,0 days 02:05:23.885000,18.5,62.0,966.7,False,30.0,68,1.3
126,0 days 02:06:23.869000,18.5,61.0,966.7,False,29.7,37,1.3
127,0 days 02:07:23.853000,18.4,61.0,966.7,False,29.3,65,0.6
128,0 days 02:08:23.868000,18.4,60.0,966.9,False,29.3,79,0.8
129,0 days 02:09:23.867000,18.5,60.0,966.7,False,30.1,77,1.0
130,0 days 02:10:23.882000,18.8,59.0,966.7,False,30.7,43,1.7
131,0 days 02:11:23.881000,18.8,59.0,966.7,False,30.7,106,1.3
132,0 days 02:12:23.881000,18.9,59.0,966.7,False,30.0,25,1.2
133,0 days 02:13:23.895000,18.8,60.0,966.7,False,29.1,141,1.7
134,0 days 02:14:23.879000,18.8,60.0,966.7,False,29.1,203,2.0
135,0 days 02:15:23.941000,18.7,62.0,966.5,False,28.8,223,2.5
136,0 days 02:16:23.909000,18.8,62.0,966.5,False,28.8,94,1.7
137,0 days 02:17:23.908000,18.8,61.0,966.7,False,28.8,111,1.6
138,0 days 02:18:23.923000,18.9,62.0,966.7,False,29.0,149,1.5
139,0 days 02:19:23.907000,19.0,61.0,966.7,False,29.9,108,1.2
140,0 days 02:20:23.922000,19.0,60.0,966.7,False,30.0,89,1.5
141,0 days 02:21:23.921000,19.1,59.0,966.5,False,29.7,155,1.5
142,0 days 02:22:23.905000,19.2,59.0,966.7,False,29.3,119,2.2
143,0 days 02:23:23.920000,19.1,60.0,966.7,False,28.9,110,1.2
144,0 days 02:24:23.919000,18.8,61.0,966.7,False,28.4,156,1.2
145,0 days 02:25:23.919000,18.9,61.0,966.7,False,28.4,186,3.2
146,0 days 02:26:23.918000,18.7,61.0,966.7,False,28.3,133,2.0
147,0 days 02:27:23.917000,18.7,61.0,966.7,False,28.0,104,3.5
148,0 days 02:28:23.917000,18.5,59.0,966.7,False,27.9,191,3.5
149,0 days 02:29:23.916000,18.5,61.0,966.7,False,27.7,0,2.0
